date_utc,l1_blob_base_fee_wei,l1_blob_base_fee_gwei,l1_blob_gas_used,l1_blob_tx_count,blobs_count
2024-03-14,1,0.000000001,1458044928,8026,11124
2024-03-15,1,0.000000001,953286656,3637,7273
2024-03-16,1,0.000000001,879624192,2987,6711
2024-03-17,1,0.000000001,833224704,2966,6357
2024-03-18,1,0.000000001,822607872,2446,6276
2024-03-19,1,0.000000001,890372096,2364,6793
2024-03-20,1,0.000000001,980287488,2408,7479
2024-03-21,1,0.000000001,898629632,2251,6856
2024-03-22,1,0.000000001,870580224,2129,6642
2024-03-23,1,0.000000001,826015744,1877,6302
2024-03-24,1,0.000000001,805699584,1732,6147
2024-03-25,1,0.000000001,916193280,1834,6990
2024-03-26,5,0.000000005,1068630016,2461,8153
2024-03-27,26469172011,26.469172011,1877082112,8404,14321
2024-03-28,25720476792,25.720476792,2764570624,14575,21092
2024-03-29,17949338951,17.949338951,2801664000,14769,21375
2024-03-30,16695843898,16.695843898,2791178240,14701,21295
2024-03-31,50737750719,50.737750719,2797338624,15146,21342
2024-04-01,46567620350,46.56762035,2800746496,15579,21368
2024-04-02,60078566964,60.078566964,2802188288,15225,21379
2024-04-03,43467967270,43.46796727,2796683264,15017,21337
2024-04-04,6914673,0.006914673,2247360512,10147,17146
2024-04-05,1,0.000000001,1904738304,7059,14532
2024-04-06,1,0.000000001,1348206592,3862,10286
2024-04-07,1,0.000000001,1312686080,3119,10015
2024-04-08,1,0.000000001,1325400064,2564,10112
2024-04-09,1,0.000000001,1442709504,2806,11007
2024-04-10,1,0.000000001,1390411776,2747,10608
2024-04-11,3566004,0.003566004,1897791488,7047,14479
2024-04-12,241059,0.000241059,1983250432,7991,15131
2024-04-13,1,0.000000001,1246625792,2624,9511
2024-04-14,1,0.000000001,1373896704,3209,10482
2024-04-15,1,0.000000001,1366425600,2890,10425
2024-04-16,1,0.000000001,1422131200,2872,10850
2024-04-17,1,0.000000001,1329463296,2948,10143
2024-04-18,1,0.000000001,1254359040,2656,9570
2024-04-19,1,0.000000001,1151860736,2457,8788
2024-04-20,1,0.000000001,1094844416,2417,8353
2024-04-21,1,0.000000001,1097990144,2330,8377
2024-04-22,1,0.000000001,1236008960,2460,9430
2024-04-23,1,0.000000001,1269694464,2618,9687
2024-04-24,1,0.000000001,1290534912,2581,9846
2024-04-25,1,0.000000001,1374420992,3020,10486
2024-04-26,1,0.000000001,1382285312,3114,10546
2024-04-27,1,0.000000001,1236271104,2634,9432
2024-04-28,1,0.000000001,1221984256,2515,9323
2024-04-29,1,0.000000001,1396703232,4007,10656
2024-04-30,1,0.000000001,1455161344,4289,11102
