tx_hash,block_number,tx_index,tx_type,from_address,to_address,blobVersionedHashes_count,max_fee_per_blob_gas_wei,gas_used,effective_gas_price_wei,blobGasUsed,blobGasPrice,burn_blob_wei,can_compute_burn_blob_wei,sample_window_start_utc,sample_window_end_utc
0xb16ee0c903fc78cfcb936f16ca755fd0a187d846ef8a3cb0fb1af9446c861b1e,19557298,43,3,0x5050f69a9786f081509234f1a7f4684b5e5b76c9,0xff00000000000000000000000000000000008453,6,66282666034,21000,21879883217,786432,41944500754,32986497616969728,true,2024-02-20,2024-04-30
0xbfaf3f3d723955fac015c266293b490952fea7a7c1f33cb999f3f8bf891c1879,19557305,50,3,0x6887246668a3b87f54deb3b94ba47a6f63f32985,0xff00000000000000000000000000000000000010,6,94375127918,21000,22132797206,786432,29458962313,23167470649737216,true,2024-02-20,2024-04-30
0xb25f85f90eb58bf7c8ec175f474ad9ebd48699ac1b8b9fe8819fc6241faa36d8,19557306,32,3,0xc1b634853cb333d3ad8663715b08f41a3aec47cc,0x1c479675ad559dc151f6ec7ed3fbf8cee79582b6,6,294589623130,174159,20715461098,786432,33141333017,26063404807225344,true,2024-02-20,2024-04-30
0x7c2e09cc8dd02112032b8e790d9a5e4877535fbb1634e38f64067ec2d084c4ac,19557313,51,3,0x5050f69a9786f081509234f1a7f4684b5e5b76c9,0xff00000000000000000000000000000000008453,6,106172020274,21000,21323083565,786432,47187563959,37109810299404288,true,2024-02-20,2024-04-30
0xa70a8427fae1516ab4b3b22d5601a5cbeed6ef4267043aff3c3d34bd8d055e36,19557326,68,3,0x6887246668a3b87f54deb3b94ba47a6f63f32985,0xff00000000000000000000000000000000000010,6,87248077832,21000,21327697987,786432,35848555310,28192451049553920,true,2024-02-20,2024-04-30
0x02903261f86c65d8de94510eea03fdf217fec90817c41db1098e006ac12623ee,19557292,107,2,0x415c8893d514f9bc5211d36eeda4183226b84aa7,0xff00000000000000000000000000000000081457,,,1381644,21062666752,,,,false,2024-02-20,2024-04-30
0x77ed887dda90a44626b12bbad1417a4a5bbd63098e7c376b27dd46f76b00d419,19557292,118,2,0x0c5911d57b24fcf1dc8b2608efbae57c7098e32d,0x211e1c4c7f1bf5351ac850ed10fd68cffcf6c21b,,,146838,21102666752,,,,false,2024-02-20,2024-04-30
0xd49e128a4c359a961014d76736e916917d96a6353607b558a999467fb0bc8cbe,19557305,147,2,0x415c8893d514f9bc5211d36eeda4183226b84aa7,0xff00000000000000000000000000000000081457,,,1401576,20142797206,,,,false,2024-02-20,2024-04-30
0x8a193cabc578597f0a5db46a16d715b0ae4a0974d16995aa3623caef91ca09cd,19557319,293,2,0x0c5911d57b24fcf1dc8b2608efbae57c7098e32d,0x211e1c4c7f1bf5351ac850ed10fd68cffcf6c21b,,,146814,16514509199,,,,false,2024-02-20,2024-04-30
0x8df9a5209c9b1b1f1104b3c0f6c662d763715f4e028d7056c59b753e5756e879,19557320,165,2,0x415c8893d514f9bc5211d36eeda4183226b84aa7,0xff00000000000000000000000000000000081457,,,1415344,18532034871,,,,false,2024-02-20,2024-04-30
0x191ffbb795de7ab868674c1db14b421f0bd0d84fb01d874962105fa1384f4066,19557334,220,2,0x415c8893d514f9bc5211d36eeda4183226b84aa7,0xff00000000000000000000000000000000081457,,,1391324,18652398206,,,,false,2024-02-20,2024-04-30
