date_utc,rollup_id,l2beat_slug,total_cost_eth,total_cost_usd
2024-02-20,arbitrum,arbitrum,104.344532,307023.428415
2024-02-20,base,base,45.665368,134302.748022
2024-02-20,optimism,optimism,93.282575,274664.170118
2024-02-21,arbitrum,arbitrum,107.139856,314061.642953
2024-02-21,base,base,54.857713,160834.446268
2024-02-21,optimism,optimism,77.574849,227170.053023
2024-02-22,arbitrum,arbitrum,111.041090,330058.283204
2024-02-22,base,base,49.835891,148203.695665
2024-02-22,optimism,optimism,91.347840,271913.790984
2024-02-23,arbitrum,arbitrum,98.944539,291368.309338
2024-02-23,base,base,41.576082,122431.221346
2024-02-23,optimism,optimism,64.842973,190893.217561
2024-02-24,arbitrum,arbitrum,65.859501,194736.011026
2024-02-24,base,base,37.598429,111313.279358
2024-02-24,optimism,optimism,44.800624,132751.312803
2024-02-25,arbitrum,arbitrum,72.418615,220457.157201
2024-02-25,base,base,45.013646,137170.596276
2024-02-25,optimism,optimism,46.930374,143055.321466
2024-02-26,arbitrum,arbitrum,109.839779,342386.524451
2024-02-26,base,base,46.082946,143670.326730
2024-02-26,optimism,optimism,88.500701,275662.807324
2024-02-27,arbitrum,arbitrum,131.981966,427241.764736
2024-02-27,base,base,57.413969,185896.555357
2024-02-27,optimism,optimism,123.265867,399296.862193
2024-02-28,arbitrum,arbitrum,204.088544,681500.828075
2024-02-28,base,base,72.085467,240026.949235
2024-02-28,optimism,optimism,186.728830,621873.448007
2024-02-29,arbitrum,arbitrum,197.297586,678228.209400
2024-02-29,base,base,87.257989,299895.229690
2024-02-29,optimism,optimism,201.821366,694046.291248
2024-03-01,arbitrum,arbitrum,128.837201,438570.250020
2024-03-01,base,base,58.168688,198147.756736
2024-03-01,optimism,optimism,138.815369,473214.332301
2024-03-02,arbitrum,arbitrum,111.752996,382822.090830
2024-03-02,base,base,56.038375,191912.581844
2024-03-02,optimism,optimism,115.675397,396076.742138
2024-03-03,arbitrum,arbitrum,121.408442,416842.833200
2024-03-03,base,base,59.981766,206170.585398
2024-03-03,optimism,optimism,126.171430,434031.368204
2024-03-04,arbitrum,arbitrum,182.690853,644908.814060
2024-03-04,base,base,83.719444,295723.826201
2024-03-04,optimism,optimism,155.122422,549560.408192
2024-03-05,arbitrum,arbitrum,279.187146,1015729.744770
2024-03-05,base,base,115.992312,423148.428766
2024-03-05,optimism,optimism,237.378272,864275.445902
2024-03-06,arbitrum,arbitrum,188.305584,710429.796080
2024-03-06,base,base,103.880930,393245.063208
2024-03-06,optimism,optimism,121.796188,461660.661033
2024-03-07,arbitrum,arbitrum,157.193552,600747.174490
2024-03-07,base,base,90.273990,345117.255720
2024-03-07,optimism,optimism,102.084123,390885.106843
2024-03-08,arbitrum,arbitrum,144.143698,567561.228420
2024-03-08,base,base,70.526748,277534.177824
2024-03-08,optimism,optimism,91.078169,358779.091817
2024-03-09,arbitrum,arbitrum,104.433965,409063.358590
2024-03-09,base,base,62.533410,244877.475191
2024-03-09,optimism,optimism,100.490236,393518.947610
2024-03-10,arbitrum,arbitrum,113.780690,446319.757090
2024-03-10,base,base,70.691864,277262.801236
2024-03-10,optimism,optimism,66.579397,261073.273787
2024-03-11,arbitrum,arbitrum,148.902273,593688.205300
2024-03-11,base,base,80.822837,323061.409261
2024-03-11,optimism,optimism,78.076394,312108.884203
2024-03-12,arbitrum,arbitrum,156.295472,624916.430960
2024-03-12,base,base,71.946202,287737.765136
2024-03-12,optimism,optimism,73.647474,294232.779348
2024-03-13,arbitrum,arbitrum,139.276491,558930.201250
2024-03-13,base,base,77.197720,309575.252845
2024-03-13,optimism,optimism,79.085920,317010.893192
2024-03-14,arbitrum,arbitrum,80.752736,320178.506811
2024-03-14,base,base,1.145418,4551.767842
2024-03-14,optimism,optimism,0.388076,1517.868238
2024-03-15,arbitrum,arbitrum,2.113388,7887.774619
2024-03-15,base,base,0.349974,1303.277335
2024-03-15,optimism,optimism,0.255482,951.899767
2024-03-16,arbitrum,arbitrum,1.442843,5308.192258
2024-03-16,base,base,0.330379,1215.893019
2024-03-16,optimism,optimism,0.184839,679.577112
2024-03-17,arbitrum,arbitrum,1.128178,4027.410712
2024-03-17,base,base,0.219771,786.729144
2024-03-17,optimism,optimism,0.202944,728.610696
2024-03-18,arbitrum,arbitrum,1.661580,5911.502177
2024-03-18,base,base,0.281979,1002.667580
2024-03-18,optimism,optimism,0.260298,924.966025
2024-03-19,arbitrum,arbitrum,2.370744,7847.708378
2024-03-19,base,base,0.308297,1021.404877
2024-03-19,optimism,optimism,0.279286,924.217368
2024-03-20,arbitrum,arbitrum,2.376755,7789.284520
2024-03-20,base,base,0.346904,1141.314201
2024-03-20,optimism,optimism,0.251038,827.614811
2024-03-21,arbitrum,arbitrum,1.779344,6245.773020
2024-03-21,base,base,0.277206,972.782957
2024-03-21,optimism,optimism,0.207838,729.126457
2024-03-22,arbitrum,arbitrum,1.505304,5132.832023
2024-03-22,base,base,0.226226,770.422506
2024-03-22,optimism,optimism,0.162732,552.897265
2024-03-23,arbitrum,arbitrum,1.059641,3565.110245
2024-03-23,base,base,0.184753,621.953470
2024-03-23,optimism,optimism,0.115614,389.634470
2024-03-24,arbitrum,arbitrum,1.067779,3601.782506
2024-03-24,base,base,0.178986,603.898284
2024-03-24,optimism,optimism,0.112341,379.264401
2024-03-25,arbitrum,arbitrum,1.632409,5765.968836
2024-03-25,base,base,0.253558,896.942347
2024-03-25,optimism,optimism,0.218494,773.552488
2024-03-26,arbitrum,arbitrum,2.300631,8297.246869
2024-03-26,base,base,0.300605,1083.294102
2024-03-26,optimism,optimism,0.286138,1031.494411
2024-03-27,arbitrum,arbitrum,6.251338,22041.833238
2024-03-27,base,base,5.005893,17549.895900
2024-03-27,optimism,optimism,4.339598,15218.097401
2024-03-28,arbitrum,arbitrum,9.241997,32906.496628
2024-03-28,base,base,10.889938,38738.514700
2024-03-28,optimism,optimism,6.459547,22988.191545
2024-03-29,arbitrum,arbitrum,7.083348,25060.220607
2024-03-29,base,base,6.769352,23882.656909
2024-03-29,optimism,optimism,4.968144,17532.207318
2024-03-30,arbitrum,arbitrum,6.011832,21144.333754
2024-03-30,base,base,7.784198,27375.836382
2024-03-30,optimism,optimism,4.376177,15391.249765
2024-03-31,arbitrum,arbitrum,12.174803,43796.167756
2024-03-31,base,base,20.717865,74505.277871
2024-03-31,optimism,optimism,12.429585,44710.469861
2024-04-01,arbitrum,arbitrum,10.696563,37725.647986
2024-04-01,base,base,19.186725,67664.543416
2024-04-01,optimism,optimism,12.074431,42590.925236
2024-04-02,arbitrum,arbitrum,16.622428,55226.765317
2024-04-02,base,base,27.060927,89825.042279
2024-04-02,optimism,optimism,15.000891,49880.151865
2024-04-03,arbitrum,arbitrum,11.471148,38074.512534
2024-04-03,base,base,17.642048,58512.126332
2024-04-03,optimism,optimism,10.375414,34406.257808
2024-04-04,arbitrum,arbitrum,1.611291,5398.419208
2024-04-04,base,base,0.467074,1564.017012
2024-04-04,optimism,optimism,0.265492,889.332953
2024-04-05,arbitrum,arbitrum,1.211189,3993.159828
2024-04-05,base,base,0.368014,1215.095588
2024-04-05,optimism,optimism,0.167148,551.976706
2024-04-06,arbitrum,arbitrum,0.717831,2396.478400
2024-04-06,base,base,0.230184,768.431122
2024-04-06,optimism,optimism,0.089330,298.172398
2024-04-07,arbitrum,arbitrum,0.891837,3024.631644
2024-04-07,base,base,0.281288,953.881319
2024-04-07,optimism,optimism,0.098691,334.681211
2024-04-08,arbitrum,arbitrum,1.421530,5133.090776
2024-04-08,base,base,0.414646,1498.123747
2024-04-08,optimism,optimism,0.225413,817.004949
2024-04-09,arbitrum,arbitrum,1.769942,6361.637570
2024-04-09,base,base,0.502979,1808.054218
2024-04-09,optimism,optimism,0.259593,933.135328
2024-04-10,arbitrum,arbitrum,1.290163,4519.128533
2024-04-10,base,base,0.359044,1258.184366
2024-04-10,optimism,optimism,0.186992,655.263337
2024-04-11,arbitrum,arbitrum,1.243839,4399.832960
2024-04-11,base,base,0.357718,1264.267411
2024-04-11,optimism,optimism,0.193024,682.289008
2024-04-12,arbitrum,arbitrum,2.094449,7063.015726
2024-04-12,base,base,0.458059,1552.634541
2024-04-12,optimism,optimism,0.246025,835.437374
2024-04-13,arbitrum,arbitrum,2.936421,9073.364061
2024-04-13,base,base,0.672371,2085.159409
2024-04-13,optimism,optimism,0.332277,1030.159797
2024-04-14,arbitrum,arbitrum,0.880450,2683.552985
2024-04-14,base,base,0.222518,678.594665
2024-04-14,optimism,optimism,0.121612,370.900938
2024-04-15,arbitrum,arbitrum,1.048132,3318.833421
2024-04-15,base,base,0.285012,902.300158
2024-04-15,optimism,optimism,0.149603,473.717448
2024-04-16,arbitrum,arbitrum,0.845991,2593.082384
2024-04-16,base,base,0.234729,720.247933
2024-04-16,optimism,optimism,0.122031,374.307188
2024-04-17,arbitrum,arbitrum,1.429641,4332.281710
2024-04-17,base,base,0.342283,1038.407508
2024-04-17,optimism,optimism,0.190516,577.758119
2024-04-18,arbitrum,arbitrum,0.823672,2494.323338
2024-04-18,base,base,0.218398,661.273226
2024-04-18,optimism,optimism,0.121452,367.826204
2024-04-19,arbitrum,arbitrum,0.768779,2348.365751
2024-04-19,base,base,0.198052,605.867255
2024-04-19,optimism,optimism,0.089439,273.710039
2024-04-20,arbitrum,arbitrum,0.431090,1329.067678
2024-04-20,base,base,0.140498,433.261726
2024-04-20,optimism,optimism,0.057609,177.824234
2024-04-21,arbitrum,arbitrum,0.440632,1392.369311
2024-04-21,base,base,0.143270,452.659667
2024-04-21,optimism,optimism,0.053793,169.944790
2024-04-22,arbitrum,arbitrum,0.696801,2224.954125
2024-04-22,base,base,0.192316,613.992510
2024-04-22,optimism,optimism,0.103505,330.598303
2024-04-23,arbitrum,arbitrum,0.774753,2483.190516
2024-04-23,base,base,0.225777,723.804064
2024-04-23,optimism,optimism,0.125369,401.933098
2024-04-24,arbitrum,arbitrum,1.015818,3278.246261
2024-04-24,base,base,0.249952,806.100660
2024-04-24,optimism,optimism,0.150029,483.333625
2024-04-25,arbitrum,arbitrum,0.866452,2719.698382
2024-04-25,base,base,0.208548,655.176709
2024-04-25,optimism,optimism,0.124039,389.725906
2024-04-26,arbitrum,arbitrum,0.532317,1670.574587
2024-04-26,base,base,0.147934,464.387971
2024-04-26,optimism,optimism,0.080246,251.906684
2024-04-27,arbitrum,arbitrum,0.398166,1253.712351
2024-04-27,base,base,0.120677,380.069112
2024-04-27,optimism,optimism,0.067626,213.324876
2024-04-28,arbitrum,arbitrum,0.421397,1392.923222
2024-04-28,base,base,0.132088,436.658168
2024-04-28,optimism,optimism,0.076190,251.822456
2024-04-29,arbitrum,arbitrum,0.563472,1792.386695
2024-04-29,base,base,0.162376,516.794695
2024-04-29,optimism,optimism,0.092498,294.542800
2024-04-30,base,base,0.239516,729.444765
2024-04-30,optimism,optimism,0.141925,432.504024
