date_utc,eth_usd_close
2024-02-20,2867.00
2024-02-21,2873.07
2024-02-22,2879.14
2024-02-23,2885.21
2024-02-24,2891.28
2024-02-25,2897.35
2024-02-26,2903.42
2024-02-27,2909.49
2024-02-28,2915.56
2024-02-29,2905.63
2024-03-01,2911.70
2024-03-02,2917.77
2024-03-03,2923.84
2024-03-04,2929.91
2024-03-05,2935.98
2024-03-06,2942.05
2024-03-07,2948.12
2024-03-08,2938.19
2024-03-09,2944.26
2024-03-10,2950.33
2024-03-11,2956.40
2024-03-12,2962.47
2024-03-13,3028.54
2024-03-14,3034.61
2024-03-15,3040.68
2024-03-16,3030.75
2024-03-17,3036.82
2024-03-18,3042.89
2024-03-19,3048.96
2024-03-20,3055.03
2024-03-21,3061.10
2024-03-22,3067.17
2024-03-23,3073.24
2024-03-24,3063.31
2024-03-25,3069.38
2024-03-26,3075.45
2024-03-27,3081.52
2024-03-28,3087.59
2024-03-29,3093.66
2024-03-30,3099.73
2024-03-31,3105.80
2024-04-01,3065.87
2024-04-02,3071.94
2024-04-03,3078.01
2024-04-04,3084.08
2024-04-05,3090.15
2024-04-06,3096.22
2024-04-07,3102.29
2024-04-08,3108.36
2024-04-09,3098.43
2024-04-10,3104.50
2024-04-11,3110.57
2024-04-12,3116.64
2024-04-13,3122.71
2024-04-14,3128.78
2024-04-15,3134.85
2024-04-16,3140.92
2024-04-17,3130.99
2024-04-18,3137.06
2024-04-19,3143.13
2024-04-20,3149.20
2024-04-21,3155.27
2024-04-22,3161.34
2024-04-23,3167.41
2024-04-24,3173.48
2024-04-25,3163.55
2024-04-26,3169.62
2024-04-27,3175.69
2024-04-28,3181.76
2024-04-29,3187.83
2024-04-30,3193.90
