rollup_id,display_name,type,da_posting_method,origin_key,l2beat_slug,in_scope,batcher_addresses_json,evidence_url,verified_utc,status,start_date_utc,end_date_utc,notes
arbitrum,Arbitrum One,optimistic,l1_calldata_blobs,arbitrum,arbitrum,true,"{""schema_version"":1,""state"":""unknown"",""addresses"":[],""notes"":""seeded; populate via T082""}",https://l2beat.com/scaling/projects/arbitrum,2026-02-04,active,2022-01-01,,Seeded for swarm bootstrap; address attribution pending (T082).
optimism,OP Mainnet,optimistic,l1_calldata_blobs,optimism,optimism,true,"{""schema_version"":1,""state"":""unknown"",""addresses"":[],""notes"":""seeded; populate via T082""}",https://l2beat.com/scaling/projects/optimism,2026-02-04,active,2022-01-01,,Seeded for swarm bootstrap; address attribution pending (T082).
base,Base,optimistic,l1_calldata_blobs,base,base,true,"{""schema_version"":1,""state"":""unknown"",""addresses"":[],""notes"":""seeded; populate via T082""}",https://l2beat.com/scaling/projects/base,2026-02-04,active,2022-01-01,,Seeded for swarm bootstrap; address attribution pending (T082).
zksync_era,ZKsync Era,zk,l1_calldata_blobs,zksync_era,zksync2,true,"{""schema_version"":1,""state"":""unknown"",""addresses"":[],""notes"":""seeded; populate via T082""}",https://l2beat.com/scaling/projects/zksync2,2026-02-04,active,2022-01-01,,Seeded for swarm bootstrap; address attribution pending (T082).
starknet,Starknet,zk,l1_calldata_blobs,starknet,starknet,true,"{""schema_version"":1,""state"":""unknown"",""addresses"":[],""notes"":""seeded; populate via T082""}",https://l2beat.com/scaling/projects/starknet,2026-02-04,active,2022-01-01,,Seeded for swarm bootstrap; address attribution pending (T082).
linea,Linea,zk,l1_calldata_blobs,linea,linea,true,"{""schema_version"":1,""state"":""unknown"",""addresses"":[],""notes"":""seeded; populate via T082""}",https://l2beat.com/scaling/projects/linea,2026-02-04,active,2022-01-01,,Seeded for swarm bootstrap; address attribution pending (T082).
scroll,Scroll,zk,l1_calldata_blobs,scroll,scroll,true,"{""schema_version"":1,""state"":""unknown"",""addresses"":[],""notes"":""seeded; populate via T082""}",https://l2beat.com/scaling/projects/scroll,2026-02-04,active,2022-01-01,,Seeded for swarm bootstrap; address attribution pending (T082).
taiko,Taiko,zk,l1_calldata_blobs,taiko,taiko,true,"{""schema_version"":1,""state"":""unknown"",""addresses"":[],""notes"":""seeded; populate via T082""}",https://l2beat.com/scaling/projects/taiko,2026-02-04,active,2022-01-01,,Seeded for swarm bootstrap; address attribution pending (T082).
zora,Zora,optimistic,l1_calldata_blobs,zora,zora,true,"{""schema_version"":1,""state"":""unknown"",""addresses"":[],""notes"":""seeded; populate via T082""}",https://l2beat.com/scaling/projects/zora,2026-02-04,active,2022-01-01,,Seeded for swarm bootstrap; address attribution pending (T082).
metis,Metis,optimistic,l1_calldata_blobs,metis,metis,true,"{""schema_version"":1,""state"":""unknown"",""addresses"":[],""notes"":""seeded; populate via T082""}",https://l2beat.com/scaling/projects/metis,2026-02-04,active,2022-01-01,,Seeded for swarm bootstrap; address attribution pending (T082).
blast,Blast,optimistic,l1_calldata_blobs,blast,blast,true,"{""schema_version"":1,""state"":""unknown"",""addresses"":[],""notes"":""seeded; populate via T082""}",https://l2beat.com/scaling/projects/blast,2026-02-04,active,2022-01-01,,Seeded for swarm bootstrap; address attribution pending (T082).
mode,Mode,optimistic,l1_calldata_blobs,mode,mode,true,"{""schema_version"":1,""state"":""unknown"",""addresses"":[],""notes"":""seeded; populate via T082""}",https://l2beat.com/scaling/projects/mode,2026-02-04,active,2022-01-01,,Seeded for swarm bootstrap; address attribution pending (T082).
loopring,Loopring,zk,l1_calldata_blobs,loopring,loopring,true,"{""schema_version"":1,""state"":""unknown"",""addresses"":[],""notes"":""seeded; populate via T082""}",https://l2beat.com/scaling/projects/loopring,2026-02-04,active,2022-01-01,,Seeded for swarm bootstrap; address attribution pending (T082).
