date_utc,ecosystem_str,l2_fees_eth_sum,rent_paid_eth_sum,included_rollup_days,l1_blob_base_fee_wei,is_post_dencun,at_minimum_threshold_wei,is_at_minimum_5pct,at_minimum_run_id,at_minimum_run_length_days,is_floor_binding_regime_7d
2024-02-20,0.2713533917,867.70000000,235.45333800,3,,0,,0,,0,0
2024-02-21,0.2721003083,875.80000000,238.30545000,3,,0,,0,,0,0
2024-02-22,0.2715127786,883.90000000,239.99014500,3,,0,,0,,0,0
2024-02-23,0.2728606480,892.00000000,243.39169800,3,,0,,0,,0,0
2024-02-24,0.2722790401,900.10000000,245.07836400,3,,0,,0,,0,0
2024-02-25,0.2712683279,897.70000000,243.51757800,3,,0,,0,,0,0
2024-02-26,0.2719914661,905.80000000,246.36987000,3,,0,,0,,0,0
2024-02-27,0.2714524022,895.00000000,242.94990000,3,,0,,0,,0,0
2024-02-28,0.2728028524,903.10000000,246.36825600,3,,0,,0,,0,0
2024-02-29,0.2722201712,911.20000000,248.04702000,3,,0,,0,,0,0
2024-03-01,0.2712147359,908.80000000,246.47995200,3,,0,,0,,0,0
2024-03-02,0.2719353550,916.90000000,249.33752700,3,,0,,0,,0,0
2024-03-03,0.2713558378,925.00000000,251.00415000,3,,0,,0,,0,0
2024-03-04,0.2727005530,933.10000000,254.45688600,3,,0,,0,,0,0
2024-03-05,0.2721627193,922.30000000,251.01567600,3,,0,,0,,0,0
2024-03-06,0.2711624372,919.90000000,249.44232600,3,,0,,0,,0,0
2024-03-07,0.2718805862,928.00000000,252.30518400,3,,0,,0,,0,0
2024-03-08,0.2712999733,936.10000000,253.96390500,3,,0,,0,,0,0
2024-03-09,0.2726471553,944.20000000,257.43344400,3,,0,,0,,0,0
2024-03-10,0.2720719689,952.30000000,259.09413600,3,,0,,0,,0,0
2024-03-11,0.2710880787,949.90000000,257.50656600,3,,0,,0,,0,0
2024-03-12,0.2718271121,939.10000000,255.27284100,3,,0,,0,,0,0
2024-03-13,0.1309357158,947.20000000,124.02231000,3,4000000000,1,2100000000,0,,0,0
2024-03-14,0.1315646268,955.30000000,125.68368800,3,2000000000,1,2100000000,1,1,1,0
2024-03-15,0.1313012850,963.40000000,126.49565800,3,4000000000,1,2100000000,0,,0,0
2024-03-16,0.1308123933,961.00000000,125.71071000,3,2000000000,1,2100000000,1,2,1,0
2024-03-17,0.1311409855,969.10000000,127.08872900,3,4000000000,1,2100000000,0,,0,0
2024-03-18,0.1308792315,977.20000000,127.89518500,3,2000000000,1,2100000000,1,3,1,0
2024-03-19,0.1315306291,966.40000000,127.11120000,3,4000000000,1,2100000000,0,,0,0
2024-03-20,0.1312668876,974.50000000,127.91958200,3,2000000000,1,2100000000,1,4,1,0
2024-03-21,0.1307801420,972.10000000,127.13137600,3,4000000000,1,2100000000,0,,0,0
2024-03-22,0.1311079086,980.20000000,128.51197200,3,2000000000,1,2100000000,1,5,1,0
2024-03-23,0.1308457351,988.30000000,129.31484000,3,4000000000,1,2100000000,0,,0,0
2024-03-24,0.1314731734,996.40000000,130.99987000,3,2000000000,1,2100000000,1,6,1,0
2024-03-25,0.1312136356,1004.50000000,131.80409700,3,4000000000,1,2100000000,0,,0,0
2024-03-26,0.1307486188,983.20000000,128.55204200,3,2000000000,1,2100000000,1,7,1,0
2024-03-27,0.1310755725,991.30000000,129.93521500,3,4000000000,1,2100000000,0,,0,0
2024-03-28,0.1308129828,999.40000000,130.73449500,3,2000000000,1,2100000000,1,8,1,0
