date_utc,issuance_eth,rent_base_fee_burn_eth_sum,rent_blob_fee_burn_eth_sum,rent_total_burn_eth_sum,issuance_minus_rent_burn_eth,rollup_days,base_burn_rollup_days,blob_burn_rollup_days
2024-02-20,1715.00000000,0.00000000,0.00000000,0.00000000,1715.00000000,3,0,0
2024-02-21,1717.18750000,0.00000000,0.00000000,0.00000000,1717.18750000,3,0,0
2024-02-22,1715.00000000,0.00000000,0.00000000,0.00000000,1715.00000000,3,0,0
2024-02-23,1718.81250000,0.00000000,0.00000000,0.00000000,1718.81250000,3,0,0
2024-02-24,1715.50000000,0.00000000,0.00000000,0.00000000,1715.50000000,3,0,0
2024-02-25,1717.81250000,0.00000000,0.00000000,0.00000000,1717.81250000,3,0,0
2024-02-26,1717.12500000,0.00000000,0.00000000,0.00000000,1717.12500000,3,0,0
2024-02-27,1718.06250000,0.00000000,0.00000000,0.00000000,1718.06250000,3,0,0
2024-02-28,1720.25000000,0.00000000,0.00000000,0.00000000,1720.25000000,3,0,0
2024-02-29,1718.06250000,0.00000000,0.00000000,0.00000000,1718.06250000,3,0,0
2024-03-01,1721.87500000,0.00000000,0.00000000,0.00000000,1721.87500000,3,0,0
2024-03-02,1718.56250000,0.00000000,0.00000000,0.00000000,1718.56250000,3,0,0
2024-03-03,1720.87500000,0.00000000,0.00000000,0.00000000,1720.87500000,3,0,0
2024-03-04,1720.18750000,0.00000000,0.00000000,0.00000000,1720.18750000,3,0,0
2024-03-05,1721.12500000,0.00000000,0.00000000,0.00000000,1721.12500000,3,0,0
2024-03-06,1723.31250000,0.00000000,0.00000000,0.00000000,1723.31250000,3,0,0
2024-03-07,1721.12500000,0.00000000,0.00000000,0.00000000,1721.12500000,3,0,0
2024-03-08,1724.93750000,0.00000000,0.00000000,0.00000000,1724.93750000,3,0,0
2024-03-09,1721.62500000,0.00000000,0.00000000,0.00000000,1721.62500000,3,0,0
2024-03-10,1723.93750000,0.00000000,0.00000000,0.00000000,1723.93750000,3,0,0
2024-03-11,1723.25000000,0.00000000,0.00000000,0.00000000,1723.25000000,3,0,0
2024-03-12,1724.18750000,0.00000000,0.00000000,0.00000000,1724.18750000,3,0,0
2024-03-13,1726.37500000,0.00000000,9.43718400,9.43718400,1716.93781600,3,0,3
2024-03-14,1724.18750000,0.00000000,4.71859200,4.71859200,1719.46890800,3,0,3
2024-03-15,1728.00000000,0.00000000,9.43718400,9.43718400,1718.56281600,3,0,3
2024-03-16,1724.68750000,0.00000000,4.71859200,4.71859200,1719.96890800,3,0,3
2024-03-17,1727.00000000,0.00000000,9.43718400,9.43718400,1717.56281600,3,0,3
2024-03-18,1726.31250000,0.00000000,4.71859200,4.71859200,1721.59390800,3,0,3
2024-03-19,1727.25000000,0.00000000,9.43718400,9.43718400,1717.81281600,3,0,3
2024-03-20,1729.43750000,0.00000000,4.71859200,4.71859200,1724.71890800,3,0,3
2024-03-21,1727.25000000,0.00000000,9.43718400,9.43718400,1717.81281600,3,0,3
2024-03-22,1731.06250000,0.00000000,4.71859200,4.71859200,1726.34390800,3,0,3
2024-03-23,1727.75000000,0.00000000,9.43718400,9.43718400,1718.31281600,3,0,3
2024-03-24,1730.06250000,0.00000000,4.71859200,4.71859200,1725.34390800,3,0,3
2024-03-25,1729.37500000,0.00000000,9.43718400,9.43718400,1719.93781600,3,0,3
2024-03-26,1730.31250000,0.00000000,4.71859200,4.71859200,1725.59390800,3,0,3
2024-03-27,1732.50000000,0.00000000,9.43718400,9.43718400,1723.06281600,3,0,3
2024-03-28,1730.31250000,0.00000000,4.71859200,4.71859200,1725.59390800,3,0,3
2024-03-29,1734.12500000,0.00000000,9.43718400,9.43718400,1724.68781600,3,0,3
2024-03-30,1730.81250000,0.00000000,4.71859200,4.71859200,1726.09390800,3,0,3
2024-03-31,1733.12500000,0.00000000,9.43718400,9.43718400,1723.68781600,3,0,3
2024-04-01,1732.43750000,0.00000000,9.43718400,9.43718400,1723.00031600,3,0,3
2024-04-02,1733.37500000,0.00000000,4.71859200,4.71859200,1728.65640800,3,0,3
2024-04-03,1735.56250000,0.00000000,9.43718400,9.43718400,1726.12531600,3,0,3
2024-04-04,1733.37500000,0.00000000,4.71859200,4.71859200,1728.65640800,3,0,3
2024-04-05,1737.18750000,0.00000000,9.43718400,9.43718400,1727.75031600,3,0,3
2024-04-06,1733.87500000,0.00000000,4.71859200,4.71859200,1729.15640800,3,0,3
2024-04-07,1736.18750000,0.00000000,9.43718400,9.43718400,1726.75031600,3,0,3
2024-04-08,1735.50000000,0.00000000,4.71859200,4.71859200,1730.78140800,3,0,3
2024-04-09,1736.43750000,0.00000000,9.43718400,9.43718400,1727.00031600,3,0,3
2024-04-10,1738.62500000,0.00000000,4.71859200,4.71859200,1733.90640800,3,0,3
2024-04-11,1736.43750000,0.00000000,9.43718400,9.43718400,1727.00031600,3,0,3
2024-04-12,1740.25000000,0.00000000,4.71859200,4.71859200,1735.53140800,3,0,3
