# meta_json: {"assumptions": {"assumption_ids": ["A001"], "constants": {"BLOB_BASE_COST": 8192, "GAS_PER_BLOB": 131072, "WEI_PER_ETH": 1000000000000000000}, "dencun_date_utc": "2024-03-13", "description": "Applied-floor counterfactual (no equilibrium simulation).", "formulas": {"base_fee_per_blob_gas_cf_wei": "max(base_fee_per_blob_gas_wei, reserve_blob_base_fee_wei)", "reserve_blob_base_fee_wei": "floor(BLOB_BASE_COST * base_fee_per_gas_wei / GAS_PER_BLOB)"}}, "created_at_utc": "2026-02-05T17:25:25.598391+00:00", "git_sha": "89a08fb0ee6f3f91d040705f2ae43f3c47ee768c", "inputs": {"panel_bytes": 27148, "panel_manifest_path": null, "panel_manifest_sha256": null, "panel_path": "data/samples/panels/daily_rollup_panel_v2_sample.csv", "panel_sha256": "6cec5c25cf5207aaa9b914dcb56fdad175a028fa2cb6f2553b8b550a4a5d0d04"}, "schema_version": 1, "script_path": "src/analysis/counterfactual_eip7918.py", "tag": "sample"}

date_utc,l2_fees_eth_sum,rent_paid_eth_sum,rent_paid_cf_eth_sum,delta_rent_blob_burn_eth_sum,str_observed,str_counterfactual,str_delta,included_rollup_days,l1_base_fee_per_gas_wei,l1_blob_base_fee_wei,reserve_blob_base_fee_wei,cf_blob_base_fee_wei,floor_binding
2024-02-20,867.70000000,235.45333800,235.45333800,0.00000000,0.2713533917,0.2713533917,0.0000000000,3,48000000000,,,,
2024-02-21,875.80000000,238.30545000,238.30545000,0.00000000,0.2721003083,0.2721003083,0.0000000000,3,48000000000,,,,
2024-02-22,883.90000000,239.99014500,239.99014500,0.00000000,0.2715127786,0.2715127786,0.0000000000,3,48000000000,,,,
2024-02-23,892.00000000,243.39169800,243.39169800,0.00000000,0.2728606480,0.2728606480,0.0000000000,3,48000000000,,,,
2024-02-24,900.10000000,245.07836400,245.07836400,0.00000000,0.2722790401,0.2722790401,0.0000000000,3,48000000000,,,,
2024-02-25,897.70000000,243.51757800,243.51757800,0.00000000,0.2712683279,0.2712683279,0.0000000000,3,48000000000,,,,
2024-02-26,905.80000000,246.36987000,246.36987000,0.00000000,0.2719914661,0.2719914661,0.0000000000,3,48000000000,,,,
2024-02-27,895.00000000,242.94990000,242.94990000,0.00000000,0.2714524022,0.2714524022,0.0000000000,3,48000000000,,,,
2024-02-28,903.10000000,246.36825600,246.36825600,0.00000000,0.2728028524,0.2728028524,0.0000000000,3,48000000000,,,,
2024-02-29,911.20000000,248.04702000,248.04702000,0.00000000,0.2722201712,0.2722201712,0.0000000000,3,48000000000,,,,
2024-03-01,908.80000000,246.47995200,246.47995200,0.00000000,0.2712147359,0.2712147359,0.0000000000,3,48000000000,,,,
2024-03-02,916.90000000,249.33752700,249.33752700,0.00000000,0.2719353550,0.2719353550,0.0000000000,3,48000000000,,,,
2024-03-03,925.00000000,251.00415000,251.00415000,0.00000000,0.2713558378,0.2713558378,0.0000000000,3,48000000000,,,,
2024-03-04,933.10000000,254.45688600,254.45688600,0.00000000,0.2727005530,0.2727005530,0.0000000000,3,48000000000,,,,
2024-03-05,922.30000000,251.01567600,251.01567600,0.00000000,0.2721627193,0.2721627193,0.0000000000,3,48000000000,,,,
2024-03-06,919.90000000,249.44232600,249.44232600,0.00000000,0.2711624372,0.2711624372,0.0000000000,3,48000000000,,,,
2024-03-07,928.00000000,252.30518400,252.30518400,0.00000000,0.2718805862,0.2718805862,0.0000000000,3,48000000000,,,,
2024-03-08,936.10000000,253.96390500,253.96390500,0.00000000,0.2712999733,0.2712999733,0.0000000000,3,48000000000,,,,
2024-03-09,944.20000000,257.43344400,257.43344400,0.00000000,0.2726471553,0.2726471553,0.0000000000,3,48000000000,,,,
2024-03-10,952.30000000,259.09413600,259.09413600,0.00000000,0.2720719689,0.2720719689,0.0000000000,3,48000000000,,,,
2024-03-11,949.90000000,257.50656600,257.50656600,0.00000000,0.2710880787,0.2710880787,0.0000000000,3,48000000000,,,,
2024-03-12,939.10000000,255.27284100,255.27284100,0.00000000,0.2718271121,0.2718271121,0.0000000000,3,48000000000,,,,
2024-03-13,947.20000000,124.02231000,124.02231000,0.00000000,0.1309357158,0.1309357158,0.0000000000,3,48000000000,4000000000,3000000000,4000000000,false
2024-03-14,955.30000000,125.68368800,128.04298400,2.35929600,0.1315646268,0.1340343180,0.0024696912,3,48000000000,2000000000,3000000000,3000000000,true
2024-03-15,963.40000000,126.49565800,126.49565800,0.00000000,0.1313012850,0.1313012850,0.0000000000,3,48000000000,4000000000,3000000000,4000000000,false
2024-03-16,961.00000000,125.71071000,128.07000600,2.35929600,0.1308123933,0.1332674360,0.0024550427,3,48000000000,2000000000,3000000000,3000000000,true
2024-03-17,969.10000000,127.08872900,127.08872900,0.00000000,0.1311409855,0.1311409855,0.0000000000,3,48000000000,4000000000,3000000000,4000000000,false
2024-03-18,977.20000000,127.89518500,130.25448100,2.35929600,0.1308792315,0.1332935745,0.0024143430,3,48000000000,2000000000,3000000000,3000000000,true
2024-03-19,966.40000000,127.11120000,127.11120000,0.00000000,0.1315306291,0.1315306291,0.0000000000,3,48000000000,4000000000,3000000000,4000000000,false
2024-03-20,974.50000000,127.91958200,130.27887800,2.35929600,0.1312668876,0.1336879200,0.0024210323,3,48000000000,2000000000,3000000000,3000000000,true
2024-03-21,972.10000000,127.13137600,127.13137600,0.00000000,0.1307801420,0.1307801420,0.0000000000,3,48000000000,4000000000,3000000000,4000000000,false
2024-03-22,980.20000000,128.51197200,130.87126800,2.35929600,0.1311079086,0.1335148623,0.0024069537,3,48000000000,2000000000,3000000000,3000000000,true
2024-03-23,988.30000000,129.31484000,129.31484000,0.00000000,0.1308457351,0.1308457351,0.0000000000,3,48000000000,4000000000,3000000000,4000000000,false
2024-03-24,996.40000000,130.99987000,133.35916600,2.35929600,0.1314731734,0.1338409936,0.0023678202,3,48000000000,2000000000,3000000000,3000000000,true
2024-03-25,1004.50000000,131.80409700,131.80409700,0.00000000,0.1312136356,0.1312136356,0.0000000000,3,48000000000,4000000000,3000000000,4000000000,false
2024-03-26,983.20000000,128.55204200,130.91133800,2.35929600,0.1307486188,0.1331482282,0.0023996094,3,48000000000,2000000000,3000000000,3000000000,true
2024-03-27,991.30000000,129.93521500,129.93521500,0.00000000,0.1310755725,0.1310755725,0.0000000000,3,48000000000,4000000000,3000000000,4000000000,false
