date_utc,is_post_dencun,included_rollup_days,l2_fees_eth_sum,rent_paid_eth_sum,rent_base_fee_burn_eth_sum,rent_blob_fee_burn_eth_sum,rent_priority_fee_eth_sum,rent_unattributed_eth_sum,rent_execution_eth_sum,rent_burn_eth_sum,ecosystem_str,share_base_burn_of_rent,share_blob_burn_of_rent,share_execution_of_rent,share_burn_of_rent,share_priority_fee_of_rent,share_unattributed_of_rent
2024-02-20,false,3,867.70000000,235.45333800,0.00000000,0.00000000,0.00000000,235.45333800,235.45333800,0.00000000,0.2713533917,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
2024-02-21,false,3,875.80000000,238.30545000,0.00000000,0.00000000,0.00000000,238.30545000,238.30545000,0.00000000,0.2721003083,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
2024-02-22,false,3,883.90000000,239.99014500,0.00000000,0.00000000,0.00000000,239.99014500,239.99014500,0.00000000,0.2715127786,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
2024-02-23,false,3,892.00000000,243.39169800,0.00000000,0.00000000,0.00000000,243.39169800,243.39169800,0.00000000,0.2728606480,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
2024-02-24,false,3,900.10000000,245.07836400,0.00000000,0.00000000,0.00000000,245.07836400,245.07836400,0.00000000,0.2722790401,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
2024-02-25,false,3,897.70000000,243.51757800,0.00000000,0.00000000,0.00000000,243.51757800,243.51757800,0.00000000,0.2712683279,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
2024-02-26,false,3,905.80000000,246.36987000,0.00000000,0.00000000,0.00000000,246.36987000,246.36987000,0.00000000,0.2719914661,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
2024-02-27,false,3,895.00000000,242.94990000,0.00000000,0.00000000,0.00000000,242.94990000,242.94990000,0.00000000,0.2714524022,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
2024-02-28,false,3,903.10000000,246.36825600,0.00000000,0.00000000,0.00000000,246.36825600,246.36825600,0.00000000,0.2728028524,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
2024-02-29,false,3,911.20000000,248.04702000,0.00000000,0.00000000,0.00000000,248.04702000,248.04702000,0.00000000,0.2722201712,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
2024-03-01,false,3,908.80000000,246.47995200,0.00000000,0.00000000,0.00000000,246.47995200,246.47995200,0.00000000,0.2712147359,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
2024-03-02,false,3,916.90000000,249.33752700,0.00000000,0.00000000,0.00000000,249.33752700,249.33752700,0.00000000,0.2719353550,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
